MovieId,Title,Genres
1,Vikram (2022),Action|Thriller|Crime
2,Leo (2023),Action|Thriller|Drama
3,Jailer (2023),Action|Comedy|Crime
4,Kaithi (2019),Action|Thriller
5,Master (2021),Action|Thriller
6,Sivaji: The Boss (2007),Action|Comedy|Drama
7,Anniyan (2005),Action|Drama|Thriller
8,96 (2018),Drama|Romance
9,Super Deluxe (2019),Comedy|Drama|Mystery
10,Asuran (2019),Action|Drama
,,
,,
,,
